"timestamp","Cores","ExceededCores","SystemUtilization","AllocatedCores","NewCores","OverUtilization","ADI"
1617228000,12.22,10.22,100,2,2,511,40
1617228060,10.1,6.1,100,4,2,152.5,40
1617228120,8.64,2.64,100,6,2,44,40
1617228180,8.58,0.58,100,8,2,7.25,40
1617228240,8.55,0,85.5,10,2,NA,25.5
1617228300,8.45,0,70.4166666666667,12,2,NA,10.4166666666667
1617228360,8.39,0,59.9285714285714,14,0,NA,0
1617228420,8.38,0,59.8571428571429,14,0,NA,0
1617228480,6.02,0,43,14,0,NA,0
1617228540,4.25,0,30.3571428571429,14,-2,NA,8.64285714285715
1617228600,4.22,0,35.1666666666667,12,-2,NA,3.83333333333334
1617228660,4.18,0,41.8,10,0,NA,0
1617228720,4.11,0,41.1,10,0,NA,0
1617228780,4.11,0,41.1,10,0,NA,0
1617228840,4.1,0,41,10,0,NA,0
1617228900,4.09,0,40.9,10,0,NA,0
1617228960,4.08,0,40.8,10,0,NA,0
1617229020,4.07,0,40.7,10,0,NA,0
1617229080,2.04,0,20.4,10,-2,NA,18.6
1617229140,2.35,0,29.375,8,-2,NA,9.625
1617229200,2.38,0,39.6666666666667,6,0,NA,0
1617229260,2.45,0,40.8333333333333,6,0,NA,0
1617229320,2.65,0,44.1666666666667,6,0,NA,0
1617229380,2.48,0,41.3333333333333,6,0,NA,0
1617229440,2.78,0,46.3333333333333,6,0,NA,0
1617229500,2.45,0,40.8333333333333,6,0,NA,0
1617229560,2.66,0,44.3333333333333,6,0,NA,0
1617229620,2.44,0,40.6666666666667,6,0,NA,0
1617229680,2.13,0,35.5,6,-2,NA,3.5
1617229740,1.02,0,25.5,4,-2,NA,13.5
1617229800,1.22,0,61,2,2,NA,1
1617229860,1.12,0,28,4,-2,NA,11
1617229920,1.9,0,95,2,2,NA,35
1617229980,1.15,0,28.75,4,-2,NA,10.25
1617230040,0.9,0,45,2,0,NA,0
1617230100,0.88,0,44,2,0,NA,0
1617230160,0.77,0,38.5,2,-2,NA,0.5
1617230220,0.56,0,28,2,-2,NA,11
1617230280,0.5,0,25,2,-2,NA,14
1617230340,0,0,0,2,-2,NA,39
1617230400,0,0,0,2,-2,NA,39
